,id,sighting_date,species,number,latitude,longitude,comments,image_url,sighting_date_datetime,year,month,month_name,week_num
79607,1439668728,2015-08-15,Monarch Fall Roost,200,46.709,-96.335,"It is hot and windy (south) here today with some Monarchs in the trees and many in the surrounding native grass. This is the same area where we had the large fall roost last year (8-31-14). I would estimate the number at 200, all looking very fresh. Did not expect to see a group of Monarchs this early in the season.<p>The photo was taken around noon or shortly after on 8-15. I went out on 8-16 and found a similar number of Monarchs in the same area but they had moved a bit to avoid the wind that had switched to the northwest overnight. They where in smaller roosts, the largest was about 60 in number and easily 200 total for the site. I have to assume the Monarchs were there on 8-14 as well but I did not check for them. It was hot, 97F with wind out of the south when I got to our farm on 8-14 at about 3 pm. The wind was strong from the south and it was hot on Saturday (8-15) so the Monarchs were down low shaded in the grass and a Smooth wild rose thicket. This should give you some idea of the temperatures for the time period.http://w1.weather.gov/data/obhistory/KFAR.htmlWe have about 200 acres of Tallgrass prairie on our farm, some native and some restored. The site where the Monarchs were located is a prairie remnant of about 10 acres with two areas of medium maturity ( 60 foot) Cottonwood trees surrounded by native grass and forbs. This has been a staging area over the years as the Monarchs can always escape the wind whatever the direction. The vegetation is very lush this year on this site coupled with the shade from the trees offers a good place to stay cool in the heat. We do not raise Monarchs but make our best effort to provide habitat for them. On the 160 acres of restored prairie I own and manage no chemicals are used and we time maintenance burns prior to the arrival of the Monarchs. Our grassland is part of a larger contiguous grassland complex (privately owned) that borders Campbell beach of glacial Lake Agassiz. Most of this grassland is undisturbed and provides ideal summer habitat for the Monarchs. Some is native Tallgrass prairie and some is restored and a fen area runs parallel to the glacial beach.",https://journeynorth.org/jnorth/images/userfiles2015/08/1439668728.jpg,2015-08-15,2015,8,August,33
80275,1440127190,2015-08-20,Monarch Fall Roost,20,45.32,-92.696,"Rain the last two days have kept the monarchs grounded in most of Wisconsin.  Today we had blue skies and a WNW wind.  On our 60 mile round trip to River Falls, we saw about 17 monarchs, most of them NOT flying directionally south.  This evening, I spent two hours at a field of mixed alfalfa and red clover; I estimate 30 to 50 monarchs in the field.  I finally followed some of them to their roost area where various roosts were formed, varying from three to ten or more in size.......one roost of thirteen in different parts of one branch were counted as one (photo attached).A beautiful night.  Temps in the 60s.  The monarchs fed heavily, preferring the red clover.  Monarchs were in perfect condition. Temperature was 58 degrees F. when I arrived home about 8:30 p.m. <p>Editor's note: This site reported roosting in a previous year.",https://journeynorth.org/jnorth/images/userfiles2015/08/1440127190.jpg,2015-08-20,2015,8,August,34
80284,1440130994,2015-08-20,Monarch Fall Roost,50,44.329,-96.642,"The last few days have been cooler then normal and very rainy, had a low of 45 this morning and very dewey. Finally had sunshine today with a very light breeze, the monarchs, dragonflies and hummingbirds were very active today. Monarchs were busy nectaring all day on my meadow blazing stars, purple coneflowers and joe pye weed. My new england asters and glodenrod are not at full bloom yet. Went out around 8:00 tonight and watched the monarchs find small roosts in the cottonwoods, maples and elm trees. Mostly small clusters, but I did find this group of 20 before it got too dark (I lightened the photo a bit to see the count). I will keep checking this week even though I wasn't expecting any roosts this early without my asters in bloom.<p>Editor's note: This site reported roosting in a previous year.",https://journeynorth.org/jnorth/images/userfiles2015/08/1440130994.jpg,2015-08-20,2015,8,August,34
80365,1440189561,2015-08-21,Monarch PEAK Migration,250,44.859,-88.788,"My wife and I tagged 100 monarchs in two big alfalfa fields in one hour and 53 minutes.  We have been tagging since 2001 and this is the fastest we have ever tagged.  There were many more monarchs nectaring in the fields and we probably could have tagged at least another 100.  <p>I would have to estimate the number to be over 250.  Usually we start at one end of the field, walk to the other end, turn around and walk back.  Then we would turn around and repeat the process because new monarchs are always flying in.  In past years we would eventually move to a new field because there weren't any around after three or four trips through the field.  This year we go through the field once and we were done with our 100 tags.  At times I was walking around with four butterflies in my net because there were so many around that I didn't want to stop to tag them.  Last year we only had 50 tags.  It took us two days and about seven hours to use them up.  Many more monarchs this year.  <p>I don't know if the monarchs arrived on that day.  When you drive past a big alfalfa field, you may catch sight of a monarch or two, but you actually have to get out into the field to see the large number that we saw.  If you would of been standing on the road and looking at this particular field you would of never realized how many were in it. Last Friday's (8/31) weather was around 78-80 degrees and somewhat windy (10-15 mph).  The monarchs had to hang onto the alfalfa flowers harder so they stayed on them longer which  made it easier to net them.",,2015-08-21,2015,8,August,34
80479,1440272075,2015-08-22,Monarch Fall Roost,18,44.916,-97.17,"windy and  humid overcast day.  Observed a group of 10 roosting in the trees and others fluttering about in the same area.  This seems about a week earlier than in past years.<p> It was about 10 A.M when I saw them.  In the past, I usually see the roosts in the evening and they are gone in the early morning.  On 8/22 there was a LOT of dew on the trees and grass and humidity in the air in the morning.  It was also a 15-25 mph wind from the south.  Later in the day, the wind switched to the north, it got really cool and the humidity was gone and when I checked for monarchs in the evening there were none.<p>I think the temps was about 46 degrees on Friday night. I have noticed that humidity, cool weather and south winds are when I see more roosts.  They were in a small row of trees that used to be a dense, wooded shelter belt, that has been thinned over the years.  When the wind is from the south, they roost on the north side of the trees.<p>Today (8/23) it was a high of 65, in the 40s over night, and a strong 35mph north wind&mdash; no monarchs around.<p>Editor's note: This site reported roosting in a previous year.",,2015-08-22,2015,8,August,34
80689,1440392741,2015-08-22,Monarch Fall Roost,10,45.499,-95.809,"10 monarch butterflies in trees , in my yard. Many more elsewhere around town.<p>I saw these late afternoon. But i have been seeing them in the evenings as well. Some areas are shielded from the wind, but not all. The tree in my front yard where i saw the most is not shielded. The overnight temps the last two nights have been in the upper 40s. Usually though, they've been in the 50s and 60s.<p>We do raise monarchs. I have released around 30 this year. I still have some in chrysalides. But the majority of my releases were in july. ",https://journeynorth.org/jnorth/images/userfiles2015/08/1440392741.jpg,2015-08-22,2015,8,August,34
80876,1440520946,2015-08-24,Monarch Fall Roost,200,44.546,-93.953,"While walking at a local nature center this morning (August 25 at 7:30 am) I saw numerous small clusters of monarchs roosting (15-30 monarchs per cluster, 15+ clusters) in the trees.  First, small groups of flying monarch caught my eye. Then I spotted others in the trees and many resting in the wet grass. It was a delightful sight on such a beautiful morning.  I walked about a mile stretch with the morning sun on my right and the tree line on my left spotting clusters in the sunny areas all along the way.  I only had a small point a shoot camera with me, which I am not any good with, but attempted to get some pictures.Editor's Note: Although not observed until the morning of 8/25, we have dated this report 8/24, the night the roost would have formed. ",https://journeynorth.org/jnorth/images/userfiles2015/08/1440520946.jpg,2015-08-24,2015,8,August,35
80957,1440557524,2015-08-25,Monarch Fall Roost,20,45.32,-92.696,"Found quite a few monarchs at Standing Cedars Nature Preserve located a few miles south of Osceola.  We walked the area in the afternoon and saw many dozens of monarchs, and very likely total numbers were a hundred or more.  Winds were brisk from the WNW and we were there at 1:00-2:00 so I suspect these were mostly local butterflies.  The days previous had been cold and cloudy, but it is possible that some migrating monarchs might have come before then.I went back this evening and was lucky enough to find a roost just before dark.  Instead of forming on one of two high lone trees (that did attract a lot of attention), the monarchs rejected those trees and moved lower.  I moved to one of those possible choices just in time to find a roost.  I suspect there were several in the 640 (?) acre sanctuary, scattered here and there.Temperatures were in the 60s, skies were clear with a slight breeze, and when darkness closed in, temperatures dropped just below 60.Most alfalfa fields have been cut in the area so I am concentrating on wild flower areas of large size in my search for monarchs and roosts.<p>Editor's note: This site reported roosting in a previous year.",https://journeynorth.org/jnorth/images/userfiles2015/08/1440557524.jpg,2015-08-25,2015,8,August,35
80981,1440600373,2015-08-24,Monarch PEAK Migration,500,42.46,-81.705,Bright sunny day today with favourable winds at Clearville Park located on the north shore of Lake Erie. Today from 11:00 AM to 4:00 PM I counted 100 Monarchs per hour travelling in a SW direction along the Orford bluffs at Clearville Park. Peak migration in this area usually occurs around Sept 10-15 so I am surprised to see this many Monarchs moving through this early in the migration season.  ,,2015-08-24,2015,8,August,35
80993,1440604552,2015-08-25,Monarch Fall Roost,100,43.456,-93.27,"Several groups of Monarchs in trees on my property in the early morning.Editor's Note: Although not observed until the morning of 8/26, we have dated this report 8/25. For standardization, we date all roosts for the night the roost would have formed. ",https://journeynorth.org/jnorth/images/userfiles2015/08/1440604552.jpg,2015-08-25,2015,8,August,35
